Date,Open,High,Low,Close,Adj Close,Volume
2000-03-10,17.125000,17.125000,16.687500,16.812500,9.429408,2631700
2000-03-13,16.812500,17.000000,16.625000,16.937500,9.499511,1434800
2000-03-14,17.000000,17.000000,16.500000,16.625000,9.324244,1853600
2000-03-15,16.625000,17.187500,16.500000,17.125000,9.604673,4062700
2000-03-16,17.187500,18.250000,17.000000,18.062500,10.130478,3771400
2000-03-17,18.062500,18.750000,17.625000,18.000000,10.095420,6524300
2000-03-20,18.000000,18.000000,17.625000,17.765625,9.963973,1103600
2000-03-21,17.250000,17.625000,17.062500,17.312500,9.709837,1439200
2000-03-22,17.250000,17.312500,16.937500,17.125000,9.604673,1424500
2000-03-23,17.062500,17.375000,16.937500,17.062500,9.569625,918700
2000-03-24,17.062500,17.750000,17.062500,17.500000,9.814996,2166100
2000-03-27,17.500000,17.875000,17.250000,17.812500,9.990264,1698000
2000-03-28,18.250000,19.187500,18.062500,18.750000,10.516070,3675900
2000-03-29,18.562500,19.250000,18.312500,19.250000,10.796501,3296200
2000-03-30,19.750000,21.250000,19.500000,20.875000,11.707890,4674400
2000-03-31,21.062500,21.062500,19.687500,20.437500,11.462514,2365800
2000-04-03,20.062500,20.875000,20.062500,20.437500,11.462514,1050100
2000-04-04,21.000000,21.687500,20.125000,20.312500,11.392406,2551700
2000-04-05,20.312500,21.625000,20.312500,20.937500,11.742947,1390500
2000-04-06,21.750000,22.062500,20.625000,21.187500,11.883159,2202200
2000-04-07,21.312500,21.500000,20.687500,21.062500,11.813050,1330000
2000-04-10,20.500000,21.187500,20.312500,21.125000,11.848104,1263400
2000-04-11,20.937500,21.187500,20.875000,20.875000,11.707890,1365200
2000-04-12,20.937500,22.187500,20.937500,22.062500,12.373909,2865000
2000-04-13,21.375000,22.000000,21.062500,21.625000,12.128532,3730500
2000-04-14,21.187500,21.250000,20.375000,20.687500,11.602726,2415400
2000-04-17,20.625000,21.312500,19.812500,21.312500,11.953260,2157200
2000-04-18,21.125000,21.125000,20.625000,21.000000,11.778001,1432900
2000-04-19,20.937500,21.250000,20.812500,20.875000,11.707890,1112900
2000-04-20,21.750000,22.875000,21.562500,22.687500,12.724438,2877000
2000-04-24,22.375000,25.937500,22.312500,25.875000,14.512173,5205300
2000-04-25,25.875000,26.437500,24.500000,25.562500,14.336902,5013300
2000-04-26,24.750000,24.875000,23.812500,24.125000,13.530671,3442200
2000-04-27,24.000000,24.437500,23.375000,23.875000,13.390454,1761100
2000-04-28,24.000000,26.062500,24.000000,24.875000,13.951316,3415700
2000-05-01,24.250000,27.312500,24.125000,27.000000,15.143133,2702000
2000-05-02,26.250000,26.687500,26.000000,26.062500,14.617333,2304900
2000-05-03,25.812500,26.312500,25.375000,25.562500,14.336902,1438500
2000-05-04,25.562500,27.125000,25.500000,26.312500,14.757541,1659000
2000-05-05,25.750000,26.187500,25.625000,26.187500,14.687441,1751900
2000-05-08,26.000000,26.250000,25.750000,26.062500,14.617333,1038600
2000-05-09,25.812500,26.250000,25.750000,26.000000,14.582277,765900
2000-05-10,25.812500,26.250000,25.750000,26.062500,14.617333,1188300
2000-05-11,26.000000,26.437500,25.937500,26.187500,14.687441,846200
2000-05-12,25.625000,26.125000,25.562500,25.812500,14.477116,814300
2000-05-15,25.687500,25.937500,25.375000,25.625000,14.371951,682000
2000-05-16,24.750000,25.375000,24.687500,25.187500,14.126584,1051600
2000-05-17,24.937500,25.375000,24.500000,24.562500,13.776046,2000700
2000-05-18,24.437500,25.187500,24.437500,24.875000,13.951316,2073900
2000-05-19,24.125000,24.562500,23.625000,24.312500,13.635834,1286300
2000-05-22,24.375000,24.687500,23.250000,23.562500,13.215193,1283800
2000-05-23,24.250000,25.312500,23.625000,25.125000,14.091530,1109300
2000-05-24,25.000000,25.312500,24.500000,25.062500,14.056478,2029800
2000-05-25,24.812500,25.062500,24.062500,24.312500,13.635834,822600
2000-05-26,24.562500,24.750000,23.875000,24.062500,13.495624,501000
2000-05-30,24.312500,25.000000,24.187500,24.750000,13.944955,1195400
2000-05-31,24.875000,24.937500,23.812500,24.687500,13.909743,947700
2000-06-01,24.375000,25.062500,24.187500,25.062500,14.121031,876900
2000-06-02,25.312500,26.062500,25.312500,25.937500,14.614032,1608900
2000-06-05,25.937500,25.937500,25.500000,25.875000,14.578818,1070800
2000-06-06,26.000000,26.250000,25.687500,25.937500,14.614032,937000
2000-06-07,25.937500,25.937500,24.875000,25.375000,14.297106,514400
2000-06-08,24.875000,25.500000,24.250000,24.750000,13.944955,1071100
2000-06-09,24.875000,25.437500,24.812500,25.312500,14.261889,891100
2000-06-12,25.437500,25.937500,25.312500,25.562500,14.402742,744500
2000-06-13,25.312500,25.375000,24.812500,25.250000,14.226677,479200
2000-06-14,25.375000,25.500000,24.625000,24.687500,13.909743,668000
2000-06-15,25.125000,25.312500,24.875000,25.000000,14.085812,1635700
2000-06-16,25.000000,25.000000,24.312500,24.312500,13.698456,878600
2000-06-19,24.437500,24.687500,23.937500,24.687500,13.909743,731600
2000-06-20,24.687500,24.687500,23.750000,24.500000,13.804101,812000
2000-06-21,24.437500,24.875000,24.000000,24.000000,13.522388,475900
2000-06-22,24.187500,24.187500,22.812500,23.687500,13.346303,318500
2000-06-23,23.875000,24.437500,23.687500,24.187500,13.628021,1210100
2000-06-26,23.937500,25.187500,23.812500,24.812500,13.980174,1024200
2000-06-27,24.937500,25.062500,24.250000,24.312500,13.698456,1267100
2000-06-28,23.500000,23.687500,22.437500,23.687500,13.346303,2307000
2000-06-29,23.062500,25.000000,22.750000,25.000000,14.085812,2140000
2000-06-30,24.500000,25.125000,24.125000,24.812500,13.980174,1432400
2000-07-03,24.625000,24.625000,24.062500,24.312500,13.698456,691800
2000-07-05,24.187500,25.375000,24.187500,25.000000,14.085812,1005500
2000-07-06,24.500000,25.500000,24.500000,25.250000,14.226677,982000
2000-07-07,25.125000,25.375000,24.812500,25.312500,14.261889,744700
2000-07-10,25.312500,25.437500,25.000000,25.187500,14.191462,612000
2000-07-11,24.937500,25.062500,24.562500,24.750000,13.944955,620000
2000-07-12,24.187500,25.187500,24.187500,25.062500,14.121031,521500
2000-07-13,25.062500,26.062500,25.000000,25.000000,14.085812,836100
2000-07-14,25.875000,26.562500,25.812500,26.375000,14.860538,1902000
2000-07-17,26.500000,26.500000,25.250000,25.375000,14.297106,1216800
2000-07-18,25.500000,25.500000,24.937500,25.312500,14.261889,1261200
2000-07-19,25.250000,25.437500,24.875000,25.375000,14.297106,900000
2000-07-20,25.687500,27.062500,25.500000,26.750000,15.071820,1874000
2000-07-21,26.500000,26.687500,26.187500,26.312500,14.825316,1237100
2000-07-24,26.375000,26.937500,26.375000,26.562500,14.966187,1501800
2000-07-25,26.750000,27.812500,26.625000,27.187500,15.318326,1639700
2000-07-26,27.312500,27.750000,26.687500,27.500000,15.494398,1401900
2000-07-27,27.125000,27.500000,26.750000,27.187500,15.318326,773200
2000-07-28,27.187500,28.000000,27.062500,28.000000,15.776110,1397300
2000-07-31,27.750000,28.187500,27.750000,28.125000,15.846544,1235900
2000-08-01,28.312500,29.250000,28.312500,29.125000,16.409977,2133400
2000-08-02,29.500000,30.562500,28.562500,28.750000,16.198689,4871600
2000-08-03,28.437500,29.375000,28.250000,28.375000,15.987406,3564500
2000-08-04,28.937500,29.875000,28.812500,28.812500,16.233898,1693900
2000-08-07,29.375000,30.062500,29.062500,29.437500,16.586050,2267400
2000-08-08,29.500000,29.687500,28.875000,29.187500,16.445196,2136500
2000-08-09,29.500000,29.812500,29.312500,29.500000,16.621256,2286100
2000-08-10,29.625000,29.875000,29.437500,29.625000,16.691690,750600
2000-08-11,29.250000,29.875000,29.250000,29.625000,16.691690,685100
2000-08-14,29.625000,30.000000,28.875000,29.250000,16.480413,1772500
2000-08-15,29.000000,29.312500,28.812500,28.812500,16.233898,924700
2000-08-16,28.500000,28.500000,27.750000,28.000000,15.776110,1765300
2000-08-17,27.750000,28.281250,27.437500,27.687500,15.600044,979900
2000-08-18,27.562500,28.000000,27.500000,27.937500,15.740900,522200
2000-08-21,27.937500,28.875000,27.687500,28.437500,16.022617,390000
2000-08-22,28.062500,29.312500,28.062500,29.187500,16.445196,876900
2000-08-23,28.500000,28.875000,28.125000,28.375000,15.987406,716000
2000-08-24,28.187500,28.687500,27.875000,28.437500,16.022617,596300
2000-08-25,28.500000,29.125000,28.500000,28.687500,16.163473,634900
2000-08-28,29.125000,29.125000,28.312500,28.312500,15.952188,333800
2000-08-29,28.312500,28.312500,27.375000,27.562500,15.529611,769400
2000-08-30,27.562500,28.000000,27.250000,27.812500,15.733263,861700
2000-08-31,27.687500,28.937500,27.687500,28.375000,16.051466,1275400
2000-09-01,28.812500,28.812500,28.000000,28.062500,15.874680,546400
2000-09-05,28.187500,28.250000,27.250000,28.250000,15.980744,633300
2000-09-06,27.000000,29.250000,27.000000,28.875000,16.334299,1843000
2000-09-07,29.000000,30.312500,28.937500,30.187500,17.076771,1783700
2000-09-08,30.125000,30.437500,29.375000,29.937500,16.935354,1819900
2000-09-11,30.000000,30.875000,29.687500,29.812500,16.864641,1067800
2000-09-12,30.187500,30.187500,29.500000,29.500000,16.687860,792400
2000-09-13,29.562500,29.750000,29.187500,29.687500,16.793928,1361100
2000-09-14,29.312500,29.812500,29.000000,29.375000,16.617153,838600
2000-09-15,29.500000,29.812500,29.000000,29.562500,16.723219,2622100
2000-09-18,29.500000,30.312500,29.062500,29.312500,16.581800,748400
2000-09-19,29.000000,29.125000,28.062500,28.687500,16.228239,1214500
2000-09-20,28.750000,29.312500,27.250000,28.750000,16.263592,3323100
