Date,Open,High,Low,Close,Volume
2018-12-06,18.53,19.2,18.26,18.98,1840900
2018-12-07,18.93,19.23,17.54,17.57,2314800
2018-12-10,17.57,19.21,17.4,18.84,2097000
2018-12-11,19.08,19.48,18.59,18.85,997100
2018-12-12,18.98,19.8,18.78,19.47,1592200
2018-12-13,19.64,19.94,18.92,19.1,2196100
2018-12-14,18.86,19.41,18.6,18.73,1150400
2018-12-17,18.54,18.9,17.82,17.86,1492800
2018-12-18,18.08,18.34,17.58,18.02,1303400
2018-12-19,18.1,18.73,17.36,17.64,1910800
2018-12-20,13.5,14.89,12.86,14.17,14336300
2018-12-21,14.51,15.75,14.51,15.04,6999300
2018-12-24,14.67,15.14,14.08,14.78,1773900
2018-12-26,15,16.84,15,16.78,3035400
2018-12-27,16.44,16.88,13.88,15.2,2504100
2018-12-28,16.5,16.51,14.87,15,2233300
2018-12-31,15.09,15.19,14.11,14.27,2518200
2019-01-02,14.1,15.24,13.68,14.98,2452200
2019-01-03,14.93,15.6,14.54,14.85,2834500
2019-01-04,15.05,15.75,15,15.64,2569600
2019-01-07,15.74,16.54,15.65,16.15,3694900
2019-01-08,16.47,17.74,16.36,17.49,4122500
2019-01-09,17.49,17.8,16.77,17.24,2981000
2019-01-10,17.03,18.05,16.09,17.77,3543200
2019-01-11,17.72,18.19,17.13,17.91,2257300
2019-01-14,17.64,18.02,17.29,17.5,3105100
2019-01-15,17.56,18.19,17.46,18.02,2772700
2019-01-16,18.25,18.51,17.82,17.83,2521600
2019-01-17,17.8,18.61,17.65,18.09,3837300
2019-01-18,11.87,13.56,11.55,13.31,32501700
2019-01-22,12.87,13.26,12.32,13.26,8768500
2019-01-23,13.35,13.65,12.78,13.12,5819300
2019-01-24,13.09,14.18,12.75,14.16,4939500
2019-01-25,14.3,14.57,13.76,14.53,3927500
2019-01-28,14.18,14.5,13.7,14.32,3198400
2019-01-29,14.09,15.01,14,14.57,4015500
2019-01-30,14.63,14.96,14.15,14.96,2621200
2019-01-31,14.94,15.25,14.71,14.79,1865600
2019-02-01,14.71,15.235,14.525,14.99,2043700
2019-02-04,14.95,15.17,14.79,15.15,1596300
2019-02-05,15.05,15.48,14.495,14.97,3022300
2019-02-06,14.94,15.19,14.7,14.78,1449100
2019-02-07,14.71,15.11,14.26,14.35,1691700
2019-02-08,14,14.39,13.69,14.04,4886200
2019-02-11,14.09,14.09,13.75,13.93,2105200
2019-02-12,13.99,14.3,13.55,13.84,3637300
2019-02-13,13.84,14.37,13.74,14.3,1997600
2019-02-14,14.18,14.46,13.82,14.01,1907300
2019-02-15,14.04,14.38,13.95,14.23,2145600
2019-02-19,14.22,14.46,14.01,14.31,2116300
2019-02-20,14.36,14.5,14.01,14.36,1421200
2019-02-21,14.36,14.46,14.155,14.31,1147100
2019-02-22,14.34,14.93,14.22,14.89,1995200
2019-02-25,15,15.4,14.94,15.18,3628600
2019-02-26,13.83,16.61,13.82,16.24,6264800
2019-02-27,16.19,16.5,16.04,16.5,2450700
2019-02-28,16.51,16.6,15.3,15.76,3048700
2019-03-01,15.9,16.62,15.9,16.55,2467100
2019-03-04,17,17.225,16.5,16.91,3121200
2019-03-05,16.89,17.41,16.81,16.96,2388200
2019-03-06,16.9,16.98,16.32,16.65,2088200
2019-03-07,16.65,16.69,16.17,16.53,1538600
2019-03-08,16.34,16.65,16.14,16.35,1839700
2019-03-11,16.13,17.48,16.07,17.48,2381600
2019-03-12,17.56,17.74,17.14,17.5,2550700
2019-03-13,17.54,17.95,17.07,17.95,1725200
2019-03-14,17.95,18.17,17.595,17.94,1504500
2019-03-15,18.02,18.59,17.8,18.56,5009700
2019-03-18,18.56,18.89,18.23,18.84,2149600
2019-03-19,18.86,18.97,18.37,18.8,1910100
2019-03-20,18.72,18.89,17.88,18.35,2245700
2019-03-21,18.17,18.39,17.84,18.29,2464400
2019-03-22,18.19,18.2065,17.3,17.5,2940900
2019-03-25,17.46,17.68,16.959,17.58,2009800
2019-03-26,17.79,18.34,17.65,18.1,1973800
2019-03-27,18.29,18.615,17.64,17.93,2072700
2019-03-28,18.02,18.88,17.97,18.57,2117400
2019-03-29,18.72,19.27,18.48,19.21,2717900
2019-04-01,19.31,19.51,17.285,17.59,6300800
2019-04-02,17.66,18.12,17.56,18.04,1844900
2019-04-03,18.2,18.38,17.79,17.98,1809900
2019-04-04,17.96,18.085,17.71,17.87,1168300
2019-04-05,17.86,18.09,17.835,18,1706200
2019-04-08,17.99,18.36,17.54,18.29,1900900
2019-04-09,18.25,18.43,17.92,18.07,3197100
2019-04-10,18.15,18.89,18.15,18.86,1749100
2019-04-11,18.7,18.8,18.36,18.57,1559100
2019-04-12,18.62,19.1,18.415,18.51,1609600
2019-04-15,18.55,18.68,18.1,18.27,1188800
2019-04-16,18.4,18.47,17.37,17.49,1628000
2019-04-17,17.49,17.5565,16.59,16.65,3086800
2019-04-18,16.7,17.12,16.25,16.99,3228000
2019-04-22,16.96,17.13,16.59,16.65,1406700
2019-04-23,16.75,17.105,16.58,16.98,2850100
2019-04-24,17,17.12,16.075,16.13,1818700
2019-04-25,16.13,16.71,15.85,16.66,2155800
2019-04-26,16.66,17.01,16.46,16.5,1871400
2019-04-29,16.44,16.5,15.15,15.61,4350300
2019-04-30,15.6,16.07,15.42,16.02,2808300
2019-05-01,16.05,16.17,14.93,14.95,2406300
2019-05-02,14.93,15.34,14.58,14.9,2813500
2019-05-03,15.02,15.0549,14.44,14.74,2894900
2019-05-06,14.49,14.71,14.36,14.65,2066400
2019-05-07,14.44,14.6297,13.64,14.16,3754700
2019-05-08,14.18,14.645,14.0188,14.5,3967000
2019-05-09,15,15.34,13.55,14.32,8120100
2019-05-10,14.14,15.46,13.9,15.24,3709200
2019-05-13,14.85,15.49,14.79,14.9,3843000
2019-05-14,14.91,15.83,14.87,15.41,2190800
2019-05-15,15.33,15.33,14.5765,14.93,2274400
2019-05-16,15.26,16.26,15.195,16.06,3583600
2019-05-17,15.82,16.19,15.59,15.61,2226200
2019-05-20,15.5,15.77,15.27,15.44,1459300
2019-05-21,15.55,16.05,15.48,15.83,1230300
2019-05-22,15.87,15.9964,14.74,14.8,1679600
2019-05-23,14.65,14.75,14.12,14.43,3133500
2019-05-24,14.52,14.83,14.43,14.8,1538600
2019-05-28,14.86,14.97,14.005,14.06,4433700
2019-05-29,14,14.25,13.74,14.04,2376900
2019-05-30,14.14,14.24,13.01,13.49,4158100
2019-05-31,13.3,13.37,13.02,13.07,3181100
2019-06-03,12.85,12.92,11.59,11.98,8927900
2019-06-04,12.36,12.36,11.815,12.24,5304700
2019-06-05,12.27,13.05,12.15,12.67,6875900
2019-06-06,12.67,12.96,12.225,12.53,3443800
