Date,Open,High,Low,Close,Volume
2016-08-23,0.78,0.79,0.77,0.78,229967
2016-08-24,0.78,0.78,0.75,0.75,104860
2016-08-25,0.76,0.77,0.74,0.75,172217
2016-08-26,0.75,0.76,0.75,0.75,130423
2016-08-29,0.74,0.77,0.74,0.75,168735
2016-08-30,0.76,0.76,0.74,0.74,95911
2016-08-31,0.75,0.76,0.71,0.73,238075
2016-09-01,0.72,0.74,0.71,0.73,361794
2016-09-02,0.74,0.75,0.73,0.74,111894
2016-09-06,0.75,0.75,0.72,0.74,211891
2016-09-07,0.74,0.75,0.71,0.71,174214
2016-09-08,0.73,0.75,0.73,0.74,151441
2016-09-09,0.75,0.75,0.72,0.73,165562
2016-09-12,0.72,0.73,0.72,0.72,152645
2016-09-13,0.72,0.73,0.70,0.70,207006
2016-09-14,0.70,0.72,0.70,0.71,134009
2016-09-15,0.70,0.72,0.70,0.71,288985
2016-09-16,0.71,0.76,0.71,0.74,288795
2016-09-19,0.73,0.75,0.71,0.71,142801
2016-09-20,0.72,0.73,0.72,0.73,138717
2016-09-21,0.72,0.74,0.72,0.73,84520
2016-09-22,0.73,0.73,0.71,0.72,71769
2016-09-23,0.73,0.73,0.72,0.73,83905
2016-09-26,0.73,0.73,0.71,0.73,89891
2016-09-27,0.72,0.73,0.71,0.71,150853
2016-09-28,0.71,0.73,0.70,0.70,139695
2016-09-29,0.71,0.72,0.70,0.72,95082
2016-09-30,0.73,0.73,0.72,0.72,183320
2016-10-03,0.73,0.73,0.71,0.72,51438
2016-10-04,0.73,0.74,0.72,0.72,271588
2016-10-05,0.72,0.73,0.71,0.72,111770
2016-10-06,0.71,0.73,0.71,0.71,98450
2016-10-07,0.71,0.72,0.68,0.69,177234
2016-10-10,0.71,0.71,0.68,0.70,160450
2016-10-11,0.70,0.71,0.68,0.70,45198
2016-10-12,0.69,0.71,0.67,0.69,174497
2016-10-13,0.69,0.70,0.68,0.69,72193
2016-10-14,0.70,0.70,0.70,0.70,73927
2016-10-17,0.70,0.70,0.69,0.69,88855
2016-10-18,0.70,0.71,0.68,0.70,189692
2016-10-19,0.71,0.71,0.69,0.70,60214
2016-10-20,0.71,0.72,0.69,0.72,92277
2016-10-21,0.72,0.72,0.69,0.71,147156
2016-10-24,0.71,0.72,0.69,0.70,73959
2016-10-25,0.71,0.72,0.69,0.69,219856
2016-10-26,0.72,0.72,0.69,0.71,153694
2016-10-27,0.70,0.71,0.69,0.70,201009
2016-10-28,0.71,0.71,0.70,0.70,63295
2016-10-31,0.70,0.71,0.67,0.68,232318
2016-11-01,0.67,0.69,0.65,0.67,334495
2016-11-02,0.67,0.68,0.62,0.62,463557
2016-11-03,0.63,0.66,0.63,0.65,336440
2016-11-04,0.66,0.66,0.62,0.65,216114
2016-11-07,0.68,0.68,0.63,0.65,132611
2016-11-08,0.68,0.68,0.65,0.67,356296
2016-11-09,0.65,0.66,0.64,0.66,295021
2016-11-10,3.85,4.11,3.85,4.06,92438
2016-11-11,4.25,4.25,3.66,3.87,122683
2016-11-14,3.80,4.03,3.80,3.95,92276
2016-11-15,3.86,4.09,3.86,3.91,36562
2016-11-16,4.02,4.05,4.00,4.00,44098
2016-11-17,3.95,4.04,3.77,4.00,151269
2016-11-18,4.00,4.26,3.83,4.12,147697
2016-11-21,4.00,4.26,3.86,4.19,131670
2016-11-22,4.10,4.21,4.02,4.11,36469
2016-11-23,4.14,4.24,4.13,4.21,38533
2016-11-25,4.24,4.24,4.05,4.21,20274
2016-11-28,4.09,4.27,4.03,4.21,38849
2016-11-29,4.20,4.30,4.05,4.25,98504
2016-11-30,4.30,4.30,4.15,4.24,43859
2016-12-01,4.12,4.49,4.12,4.20,82405
2016-12-02,4.24,4.49,4.10,4.33,116112
2016-12-05,4.44,4.44,4.25,4.25,105009
2016-12-06,4.22,4.33,4.20,4.30,32271
2016-12-07,4.26,4.30,4.20,4.22,48104
2016-12-08,4.23,4.24,4.05,4.05,157138
2016-12-09,4.05,4.10,3.91,4.04,228100
2016-12-12,4.00,4.02,3.81,3.94,115025
2016-12-13,3.98,4.00,3.88,3.93,42095
2016-12-14,3.93,3.95,3.86,3.90,71094
2016-12-15,3.91,4.06,3.90,4.04,90453
2016-12-16,4.04,4.28,3.97,4.28,149739
2016-12-19,4.23,4.25,4.00,4.17,48703
2016-12-20,4.15,4.29,4.12,4.23,32187
2016-12-21,4.20,4.23,4.10,4.20,60627
2016-12-22,4.16,4.25,4.10,4.16,53416
2016-12-23,4.17,4.18,4.05,4.17,26679
2016-12-27,4.17,4.18,4.05,4.06,27728
2016-12-28,4.05,4.10,4.00,4.04,76447
2016-12-29,4.03,4.05,3.90,3.94,108352
2016-12-30,4.10,4.10,3.92,4.09,57458
2017-01-03,4.02,4.09,3.96,3.99,28551
2017-01-04,4.00,4.10,3.99,4.07,19190
2017-01-05,4.08,4.20,4.05,4.15,59321
2017-01-06,4.18,4.29,4.12,4.22,70484
2017-01-09,4.29,4.29,4.18,4.20,44222
2017-01-10,4.22,4.40,4.05,4.30,78141
2017-01-11,4.30,4.69,4.27,4.67,236800
2017-01-12,4.73,4.92,4.70,4.83,267608
2017-01-13,4.80,4.86,4.50,4.65,125588
2017-01-17,4.60,4.80,4.52,4.65,76771
2017-01-18,4.70,4.89,4.70,4.85,183959
2017-01-19,4.89,4.89,4.71,4.83,24530
2017-01-20,4.85,4.92,4.72,4.92,34716
2017-01-23,4.94,4.94,4.72,4.76,30878
2017-01-24,4.82,4.82,4.67,4.67,27536
2017-01-25,4.58,4.74,4.58,4.63,49754
2017-01-26,4.64,4.71,4.56,4.56,30445
2017-01-27,4.55,4.62,4.50,4.59,30279
2017-01-30,4.55,4.63,4.46,4.48,30884
2017-01-31,4.47,4.50,4.38,4.42,33934
2017-02-01,4.42,4.51,4.33,4.44,18772
2017-02-02,4.40,4.63,4.34,4.52,10063
2017-02-03,4.52,4.59,4.48,4.50,20009
2017-02-06,4.60,4.60,4.45,4.54,20471
2017-02-07,4.50,4.64,4.48,4.62,34547
2017-02-08,4.57,4.66,4.53,4.61,15916
2017-02-09,4.60,4.75,4.56,4.58,95904
2017-02-10,4.56,4.66,4.50,4.58,25638
2017-02-13,4.57,4.64,4.47,4.48,58987
2017-02-14,4.51,4.53,4.45,4.46,11763
2017-02-15,4.56,4.56,4.41,4.41,28275
2017-02-16,4.43,4.44,4.32,4.36,35930
2017-02-17,4.30,4.35,4.30,4.33,6962
2017-02-21,4.28,4.31,4.15,4.22,64506
2017-02-22,4.17,4.49,4.12,4.39,48076
2017-02-23,4.40,4.40,4.21,4.23,18639
2017-02-24,4.25,4.25,4.15,4.23,28186
2017-02-27,4.20,4.30,4.15,4.24,40935
2017-02-28,4.25,4.25,4.15,4.19,46064
2017-03-01,4.20,4.35,4.15,4.23,122250
2017-03-02,4.19,4.30,4.15,4.29,85132
2017-03-03,4.23,4.32,4.16,4.29,41259
2017-03-06,4.33,4.33,4.18,4.20,44121
2017-03-07,4.19,4.21,4.10,4.13,465
2017-03-08,4.13,4.23,4.10,4.17,603
2017-03-09,4.17,4.28,4.12,4.21,54646
2017-03-10,4.51,4.51,4.00,4.03,183542
2017-03-13,4.05,4.19,4.05,4.13,104075
2017-03-14,4.10,4.17,4.01,4.06,59824
2017-03-15,4.10,4.15,4.01,4.10,54447
2017-03-16,4.15,4.17,4.08,4.15,30532
2017-03-17,4.09,4.20,4.09,4.17,31380
2017-03-20,4.15,4.16,4.10,4.15,23129
2017-03-21,4.14,4.19,4.06,4.08,47446
2017-03-22,4.19,4.19,4.03,4.05,29551
2017-03-23,4.06,4.06,4.03,4.04,26532
2017-03-24,4.07,4.10,4.05,4.07,37040
2017-03-27,4.08,4.09,4.00,4.08,26784
2017-03-28,4.05,4.13,4.05,4.11,26496
2017-03-29,4.12,4.14,4.06,4.11,9057
2017-03-30,4.11,4.13,4.08,4.13,185
2017-03-31,4.15,4.15,4.06,4.09,284
2017-04-03,4.12,4.28,4.11,4.22,116162
2017-04-04,4.21,4.28,4.15,4.19,25760
2017-04-05,4.24,4.24,4.12,4.18,15257
